pokemon,url,pokedex_num,elem_1,elem_2,species,height_meters,weight_kg,male,female,hp,attack,defense,sp_atk,sp_def,speed,total
Starly,https://pokemondb.net/pokedex/starly,0396,Normal,Flying,Starling Pokémon,0.3,2,50,50,40,55,30,30,30,60,245
Staravia,https://pokemondb.net/pokedex/staravia,0397,Normal,Flying,Starling Pokémon,0.6,15.5,50,50,55,75,50,40,40,80,340
Staraptor,https://pokemondb.net/pokedex/staraptor,0398,Normal,Flying,Predator Pokémon,1.2,24.9,50,50,85,120,70,50,60,100,485
Bidoof,https://pokemondb.net/pokedex/bidoof,0399,Normal,,Plump Mouse Pokémon,0.5,20,50,50,59,45,40,35,40,31,250
Bibarel,https://pokemondb.net/pokedex/bibarel,0400,Normal,Water,Beaver Pokémon,1,31.5,50,50,79,85,60,55,60,71,410
Kricketot,https://pokemondb.net/pokedex/kricketot,0401,Bug,,Cricket Pokémon,0.3,2.2,50,50,37,25,41,25,41,25,194
Kricketune,https://pokemondb.net/pokedex/kricketune,0402,Bug,,Cricket Pokémon,1,25.5,50,50,77,85,51,55,51,65,384
Shinx,https://pokemondb.net/pokedex/shinx,0403,Electric,,Flash Pokémon,0.5,9.5,50,50,45,65,34,40,34,45,263
Luxio,https://pokemondb.net/pokedex/luxio,0404,Electric,,Spark Pokémon,0.9,30.5,50,50,60,85,49,60,49,60,363
Luxray,https://pokemondb.net/pokedex/luxray,0405,Electric,,Gleam Eyes Pokémon,1.4,42,50,50,80,120,79,95,79,70,523
Budew,https://pokemondb.net/pokedex/budew,0406,Grass,Poison,Bud Pokémon,0.2,1.2,50,50,40,30,35,50,70,55,280
Roserade,https://pokemondb.net/pokedex/roserade,0407,Grass,Poison,Bouquet Pokémon,0.9,14.5,50,50,60,70,65,125,105,90,515
Cranidos,https://pokemondb.net/pokedex/cranidos,0408,Rock,,Head Butt Pokémon,0.9,31.5,87.5,12.5,67,125,40,30,30,58,350
Rampardos,https://pokemondb.net/pokedex/rampardos,0409,Rock,,Head Butt Pokémon,1.6,102.5,87.5,12.5,97,165,60,65,50,58,495
Shieldon,https://pokemondb.net/pokedex/shieldon,0410,Rock,Steel,Shield Pokémon,0.5,57,87.5,12.5,30,42,118,42,88,30,350
Bastiodon,https://pokemondb.net/pokedex/bastiodon,0411,Rock,Steel,Shield Pokémon,1.3,149.5,87.5,12.5,60,52,168,47,138,30,495
Burmy,https://pokemondb.net/pokedex/burmy,0412,Bug,,Bagworm Pokémon,0.2,3.4,50,50,40,29,45,29,45,36,224
Wormadam,https://pokemondb.net/pokedex/wormadam,0413,Bug,Grass,Bagworm Pokémon,0.5,6.5,0,100,60,59,85,79,105,36,424
Mothim,https://pokemondb.net/pokedex/mothim,0414,Bug,Flying,Moth Pokémon,0.9,23.3,100,0,70,94,50,94,50,66,424
Combee,https://pokemondb.net/pokedex/combee,0415,Bug,Flying,Tiny Bee Pokémon,0.3,5.5,87.5,12.5,30,30,42,30,42,70,244
Vespiquen,https://pokemondb.net/pokedex/vespiquen,0416,Bug,Flying,Beehive Pokémon,1.2,38.5,0,100,70,80,102,80,102,40,474
Pachirisu,https://pokemondb.net/pokedex/pachirisu,0417,Electric,,EleSquirrel Pokémon,0.4,3.9,50,50,60,45,70,45,90,95,405
Buizel,https://pokemondb.net/pokedex/buizel,0418,Water,,Sea Weasel Pokémon,0.7,29.5,50,50,55,65,35,60,30,85,330
Floatzel,https://pokemondb.net/pokedex/floatzel,0419,Water,,Sea Weasel Pokémon,1.1,33.5,50,50,85,105,55,85,50,115,495
Cherubi,https://pokemondb.net/pokedex/cherubi,0420,Grass,,Cherry Pokémon,0.4,3.3,50,50,45,35,45,62,53,35,275
Cherrim,https://pokemondb.net/pokedex/cherrim,0421,Grass,,Blossom Pokémon,0.5,9.3,50,50,70,60,70,87,78,85,450
Shellos,https://pokemondb.net/pokedex/shellos,0422,Water,,Sea Slug Pokémon,0.3,6.3,50,50,76,48,48,57,62,34,325
Gastrodon,https://pokemondb.net/pokedex/gastrodon,0423,Water,Ground,Sea Slug Pokémon,0.9,29.9,50,50,111,83,68,92,82,39,475
Ambipom,https://pokemondb.net/pokedex/ambipom,0424,Normal,,Long Tail Pokémon,1.2,20.3,50,50,75,100,66,60,66,115,482
Drifloon,https://pokemondb.net/pokedex/drifloon,0425,Ghost,Flying,Balloon Pokémon,0.4,1.2,50,50,90,50,34,60,44,70,348
Drifblim,https://pokemondb.net/pokedex/drifblim,0426,Ghost,Flying,Blimp Pokémon,1.2,15,50,50,150,80,44,90,54,80,498
Buneary,https://pokemondb.net/pokedex/buneary,0427,Normal,,Rabbit Pokémon,0.4,5.5,50,50,55,66,44,44,56,85,350
Lopunny,https://pokemondb.net/pokedex/lopunny,0428,Normal,,Rabbit Pokémon,1.2,33.3,50,50,65,76,84,54,96,105,480
Mismagius,https://pokemondb.net/pokedex/mismagius,0429,Ghost,,Magical Pokémon,0.9,4.4,50,50,60,60,60,105,105,105,495
Honchkrow,https://pokemondb.net/pokedex/honchkrow,0430,Dark,Flying,Big Boss Pokémon,0.9,27.3,50,50,100,125,52,105,52,71,505
Glameow,https://pokemondb.net/pokedex/glameow,0431,Normal,,Catty Pokémon,0.5,3.9,25,75,49,55,42,42,37,85,310
Purugly,https://pokemondb.net/pokedex/purugly,0432,Normal,,Tiger Cat Pokémon,1,43.8,25,75,71,82,64,64,59,112,452
Chingling,https://pokemondb.net/pokedex/chingling,0433,Psychic,,Bell Pokémon,0.2,0.6,50,50,45,30,50,65,50,45,285
Stunky,https://pokemondb.net/pokedex/stunky,0434,Poison,Dark,Skunk Pokémon,0.4,19.2,50,50,63,63,47,41,41,74,329
Skuntank,https://pokemondb.net/pokedex/skuntank,0435,Poison,Dark,Skunk Pokémon,1,38,50,50,103,93,67,71,61,84,479
Bronzor,https://pokemondb.net/pokedex/bronzor,0436,Steel,Psychic,Bronze Pokémon,0.5,60.5,0,0,57,24,86,24,86,23,300
Bronzong,https://pokemondb.net/pokedex/bronzong,0437,Steel,Psychic,Bronze Bell Pokémon,1.3,187,0,0,67,89,116,79,116,33,500
Bonsly,https://pokemondb.net/pokedex/bonsly,0438,Rock,,Bonsai Pokémon,0.5,15,50,50,50,80,95,10,45,10,290
Mime Jr.,https://pokemondb.net/pokedex/mime-jr,0439,Psychic,Fairy,Mime Pokémon,0.6,13,50,50,20,25,45,70,90,60,310
Happiny,https://pokemondb.net/pokedex/happiny,0440,Normal,,Playhouse Pokémon,0.6,24.4,0,100,100,5,5,15,65,30,220
Chatot,https://pokemondb.net/pokedex/chatot,0441,Normal,Flying,Music Note Pokémon,0.5,1.9,50,50,76,65,45,92,42,91,411
Spiritomb,https://pokemondb.net/pokedex/spiritomb,0442,Ghost,Dark,Forbidden Pokémon,1,108,50,50,50,92,108,92,108,35,485
Gible,https://pokemondb.net/pokedex/gible,0443,Dragon,Ground,Land Shark Pokémon,0.7,20.5,50,50,58,70,45,40,45,42,300
Gabite,https://pokemondb.net/pokedex/gabite,0444,Dragon,Ground,Cave Pokémon,1.4,56,50,50,68,90,65,50,55,82,410
Garchomp,https://pokemondb.net/pokedex/garchomp,0445,Dragon,Ground,Mach Pokémon,1.9,95,50,50,108,130,95,80,85,102,600
Munchlax,https://pokemondb.net/pokedex/munchlax,0446,Normal,,Big Eater Pokémon,0.6,105,87.5,12.5,135,85,40,40,85,5,390
Riolu,https://pokemondb.net/pokedex/riolu,0447,Fighting,,Emanation Pokémon,0.7,20.2,87.5,12.5,40,70,40,35,40,60,285
Lucario,https://pokemondb.net/pokedex/lucario,0448,Fighting,Steel,Aura Pokémon,1.2,54,87.5,12.5,70,110,70,115,70,90,525
Hippopotas,https://pokemondb.net/pokedex/hippopotas,0449,Ground,,Hippo Pokémon,0.8,49.5,50,50,68,72,78,38,42,32,330
Hippowdon,https://pokemondb.net/pokedex/hippowdon,0450,Ground,,Heavyweight Pokémon,2,300,50,50,108,112,118,68,72,47,525
Skorupi,https://pokemondb.net/pokedex/skorupi,0451,Poison,Bug,Scorpion Pokémon,0.8,12,50,50,40,50,90,30,55,65,330
Drapion,https://pokemondb.net/pokedex/drapion,0452,Poison,Dark,Ogre Scorp Pokémon,1.3,61.5,50,50,70,90,110,60,75,95,500
Croagunk,https://pokemondb.net/pokedex/croagunk,0453,Poison,Fighting,Toxic Mouth Pokémon,0.7,23,50,50,48,61,40,61,40,50,300
Toxicroak,https://pokemondb.net/pokedex/toxicroak,0454,Poison,Fighting,Toxic Mouth Pokémon,1.3,44.4,50,50,83,106,65,86,65,85,490
Carnivine,https://pokemondb.net/pokedex/carnivine,0455,Grass,,Bug Catcher Pokémon,1.4,27,50,50,74,100,72,90,72,46,454
Finneon,https://pokemondb.net/pokedex/finneon,0456,Water,,Wing Fish Pokémon,0.4,7,50,50,49,49,56,49,61,66,330
Lumineon,https://pokemondb.net/pokedex/lumineon,0457,Water,,Neon Pokémon,1.2,24,50,50,69,69,76,69,86,91,460
Mantyke,https://pokemondb.net/pokedex/mantyke,0458,Water,Flying,Kite Pokémon,1,65,50,50,45,20,50,60,120,50,345
Snover,https://pokemondb.net/pokedex/snover,0459,Grass,Ice,Frost Tree Pokémon,1,50.5,50,50,60,62,50,62,60,40,334
Abomasnow,https://pokemondb.net/pokedex/abomasnow,0460,Grass,Ice,Frost Tree Pokémon,2.2,135.5,50,50,90,92,75,92,85,60,494
Weavile,https://pokemondb.net/pokedex/weavile,0461,Dark,Ice,Sharp Claw Pokémon,1.1,34,50,50,70,120,65,45,85,125,510
Magnezone,https://pokemondb.net/pokedex/magnezone,0462,Electric,Steel,Magnet Area Pokémon,1.2,180,0,0,70,70,115,130,90,60,535
Lickilicky,https://pokemondb.net/pokedex/lickilicky,0463,Normal,,Licking Pokémon,1.7,140,50,50,110,85,95,80,95,50,515
Rhyperior,https://pokemondb.net/pokedex/rhyperior,0464,Ground,Rock,Drill Pokémon,2.4,282.8,50,50,115,140,130,55,55,40,535
Tangrowth,https://pokemondb.net/pokedex/tangrowth,0465,Grass,,Vine Pokémon,2,128.6,50,50,100,100,125,110,50,50,535
Electivire,https://pokemondb.net/pokedex/electivire,0466,Electric,,Thunderbolt Pokémon,1.8,138.6,75,25,75,123,67,95,85,95,540
Magmortar,https://pokemondb.net/pokedex/magmortar,0467,Fire,,Blast Pokémon,1.6,68,75,25,75,95,67,125,95,83,540
Togekiss,https://pokemondb.net/pokedex/togekiss,0468,Fairy,Flying,Jubilee Pokémon,1.5,38,87.5,12.5,85,50,95,120,115,80,545
Yanmega,https://pokemondb.net/pokedex/yanmega,0469,Bug,Flying,Ogre Darner Pokémon,1.9,51.5,50,50,86,76,86,116,56,95,515
Leafeon,https://pokemondb.net/pokedex/leafeon,0470,Grass,,Verdant Pokémon,1,25.5,87.5,12.5,65,110,130,60,65,95,525
Glaceon,https://pokemondb.net/pokedex/glaceon,0471,Ice,,Fresh Snow Pokémon,0.8,25.9,87.5,12.5,65,60,110,130,95,65,525
Gliscor,https://pokemondb.net/pokedex/gliscor,0472,Ground,Flying,Fang Scorp Pokémon,2,42.5,50,50,75,95,125,45,75,95,510
Mamoswine,https://pokemondb.net/pokedex/mamoswine,0473,Ice,Ground,Twin Tusk Pokémon,2.5,291,50,50,110,130,80,70,60,80,530
Porygon-Z,https://pokemondb.net/pokedex/porygon-z,0474,Normal,,Virtual Pokémon,0.9,34,0,0,85,80,70,135,75,90,535
Gallade,https://pokemondb.net/pokedex/gallade,0475,Psychic,Fighting,Blade Pokémon,1.6,52,100,0,68,125,65,65,115,80,518
Probopass,https://pokemondb.net/pokedex/probopass,0476,Rock,Steel,Compass Pokémon,1.4,340,50,50,60,55,145,75,150,40,525
Dusknoir,https://pokemondb.net/pokedex/dusknoir,0477,Ghost,,Gripper Pokémon,2.2,106.6,50,50,45,100,135,65,135,45,525
Froslass,https://pokemondb.net/pokedex/froslass,0478,Ice,Ghost,Snow Land Pokémon,1.3,26.6,0,100,70,80,70,80,70,110,480
Rotom,https://pokemondb.net/pokedex/rotom,0479,Electric,Ghost,Plasma Pokémon,0.3,0.3,0,0,50,50,77,95,77,91,440
Uxie,https://pokemondb.net/pokedex/uxie,0480,Psychic,,Knowledge Pokémon,0.3,0.3,0,0,75,75,130,75,130,95,580
Mesprit,https://pokemondb.net/pokedex/mesprit,0481,Psychic,,Emotion Pokémon,0.3,0.3,0,0,80,105,105,105,105,80,580
Azelf,https://pokemondb.net/pokedex/azelf,0482,Psychic,,Willpower Pokémon,0.3,0.3,0,0,75,125,70,125,70,115,580
Dialga,https://pokemondb.net/pokedex/dialga,0483,Steel,Dragon,Temporal Pokémon,5.4,683,0,0,100,120,120,150,100,90,680
Palkia,https://pokemondb.net/pokedex/palkia,0484,Water,Dragon,Spatial Pokémon,4.2,336,0,0,90,120,100,150,120,100,680
Heatran,https://pokemondb.net/pokedex/heatran,0485,Fire,Steel,Lava Dome Pokémon,1.7,430,50,50,91,90,106,130,106,77,600
Regigigas,https://pokemondb.net/pokedex/regigigas,0486,Normal,,Colossal Pokémon,3.7,420,0,0,110,160,110,80,110,100,670
Giratina,https://pokemondb.net/pokedex/giratina,0487,Ghost,Dragon,Renegade Pokémon,4.5,750,0,0,150,100,120,100,120,90,680
Cresselia,https://pokemondb.net/pokedex/cresselia,0488,Psychic,,Lunar Pokémon,1.5,85.6,0,100,120,70,110,75,120,85,580
Phione,https://pokemondb.net/pokedex/phione,0489,Water,,Sea Drifter Pokémon,0.4,3.1,0,0,80,80,80,80,80,80,480
Manaphy,https://pokemondb.net/pokedex/manaphy,0490,Water,,Seafaring Pokémon,0.3,1.4,0,0,100,100,100,100,100,100,600
Darkrai,https://pokemondb.net/pokedex/darkrai,0491,Dark,,Pitch-Black Pokémon,1.5,50.5,0,0,70,90,90,135,90,125,600
Shaymin,https://pokemondb.net/pokedex/shaymin,0492,Grass,,Gratitude Pokémon,0.2,2.1,0,0,100,100,100,100,100,100,600
Arceus,https://pokemondb.net/pokedex/arceus,0493,Normal,,Alpha Pokémon,3.2,320,0,0,120,120,120,120,120,120,720
Victini,https://pokemondb.net/pokedex/victini,0494,Psychic,Fire,Victory Pokémon,0.4,4,0,0,100,100,100,100,100,100,600
Snivy,https://pokemondb.net/pokedex/snivy,0495,Grass,,Grass Snake Pokémon,0.6,8.1,87.5,12.5,45,45,55,45,55,63,308
Servine,https://pokemondb.net/pokedex/servine,0496,Grass,,Grass Snake Pokémon,0.8,16,87.5,12.5,60,60,75,60,75,83,413
Serperior,https://pokemondb.net/pokedex/serperior,0497,Grass,,Regal Pokémon,3.3,63,87.5,12.5,75,75,95,75,95,113,528
Tepig,https://pokemondb.net/pokedex/tepig,0498,Fire,,Fire Pig Pokémon,0.5,9.9,87.5,12.5,65,63,45,45,45,45,308
Pignite,https://pokemondb.net/pokedex/pignite,0499,Fire,Fighting,Fire Pig Pokémon,1,55.5,87.5,12.5,90,93,55,70,55,55,418
Emboar,https://pokemondb.net/pokedex/emboar,0500,Fire,Fighting,Mega Fire Pig Pokémon,1.6,150,87.5,12.5,110,123,65,100,65,65,528
Oshawott,https://pokemondb.net/pokedex/oshawott,0501,Water,,Sea Otter Pokémon,0.5,5.9,87.5,12.5,55,55,45,63,45,45,308
Dewott,https://pokemondb.net/pokedex/dewott,0502,Water,,Discipline Pokémon,0.8,24.5,87.5,12.5,75,75,60,83,60,60,413
Samurott,https://pokemondb.net/pokedex/samurott,0503,Water,,Formidable Pokémon,1.5,94.6,87.5,12.5,95,100,85,108,70,70,528
Patrat,https://pokemondb.net/pokedex/patrat,0504,Normal,,Scout Pokémon,0.5,11.6,50,50,45,55,39,35,39,42,255
Watchog,https://pokemondb.net/pokedex/watchog,0505,Normal,,Lookout Pokémon,1.1,27,50,50,60,85,69,60,69,77,420
Lillipup,https://pokemondb.net/pokedex/lillipup,0506,Normal,,Puppy Pokémon,0.4,4.1,50,50,45,60,45,25,45,55,275
Herdier,https://pokemondb.net/pokedex/herdier,0507,Normal,,Loyal Dog Pokémon,0.9,14.7,50,50,65,80,65,35,65,60,370
Stoutland,https://pokemondb.net/pokedex/stoutland,0508,Normal,,Big-Hearted Pokémon,1.2,61,50,50,85,110,90,45,90,80,500
Purrloin,https://pokemondb.net/pokedex/purrloin,0509,Dark,,Devious Pokémon,0.4,10.1,50,50,41,50,37,50,37,66,281
Liepard,https://pokemondb.net/pokedex/liepard,0510,Dark,,Cruel Pokémon,1.1,37.5,50,50,64,88,50,88,50,106,446
Pansage,https://pokemondb.net/pokedex/pansage,0511,Grass,,Grass Monkey Pokémon,0.6,10.5,87.5,12.5,50,53,48,53,48,64,316
Simisage,https://pokemondb.net/pokedex/simisage,0512,Grass,,Thorn Monkey Pokémon,1.1,30.5,87.5,12.5,75,98,63,98,63,101,498
Pansear,https://pokemondb.net/pokedex/pansear,0513,Fire,,High Temp Pokémon,0.6,11,87.5,12.5,50,53,48,53,48,64,316
Simisear,https://pokemondb.net/pokedex/simisear,0514,Fire,,Ember Pokémon,1,28,87.5,12.5,75,98,63,98,63,101,498
Panpour,https://pokemondb.net/pokedex/panpour,0515,Water,,Spray Pokémon,0.6,13.5,87.5,12.5,50,53,48,53,48,64,316
Simipour,https://pokemondb.net/pokedex/simipour,0516,Water,,Geyser Pokémon,1,29,87.5,12.5,75,98,63,98,63,101,498
Munna,https://pokemondb.net/pokedex/munna,0517,Psychic,,Dream Eater Pokémon,0.6,23.3,50,50,76,25,45,67,55,24,292
Musharna,https://pokemondb.net/pokedex/musharna,0518,Psychic,,Drowsing Pokémon,1.1,60.5,50,50,116,55,85,107,95,29,487
Pidove,https://pokemondb.net/pokedex/pidove,0519,Normal,Flying,Tiny Pigeon Pokémon,0.3,2.1,50,50,50,55,50,36,30,43,264
Tranquill,https://pokemondb.net/pokedex/tranquill,0520,Normal,Flying,Wild Pigeon Pokémon,0.6,15,50,50,62,77,62,50,42,65,358
Unfezant,https://pokemondb.net/pokedex/unfezant,0521,Normal,Flying,Proud Pokémon,1.2,29,50,50,80,115,80,65,55,93,488
Blitzle,https://pokemondb.net/pokedex/blitzle,0522,Electric,,Electrified Pokémon,0.8,29.8,50,50,45,60,32,50,32,76,295
Zebstrika,https://pokemondb.net/pokedex/zebstrika,0523,Electric,,Thunderbolt Pokémon,1.6,79.5,50,50,75,100,63,80,63,116,497
Roggenrola,https://pokemondb.net/pokedex/roggenrola,0524,Rock,,Mantle Pokémon,0.4,18,50,50,55,75,85,25,25,15,280
Boldore,https://pokemondb.net/pokedex/boldore,0525,Rock,,Ore Pokémon,0.9,102,50,50,70,105,105,50,40,20,390
Gigalith,https://pokemondb.net/pokedex/gigalith,0526,Rock,,Compressed Pokémon,1.7,260,50,50,85,135,130,60,80,25,515
Woobat,https://pokemondb.net/pokedex/woobat,0527,Psychic,Flying,Bat Pokémon,0.4,2.1,50,50,65,45,43,55,43,72,323
Swoobat,https://pokemondb.net/pokedex/swoobat,0528,Psychic,Flying,Courting Pokémon,0.9,10.5,50,50,67,57,55,77,55,114,425
Drilbur,https://pokemondb.net/pokedex/drilbur,0529,Ground,,Mole Pokémon,0.3,8.5,50,50,60,85,40,30,45,68,328
Excadrill,https://pokemondb.net/pokedex/excadrill,0530,Ground,Steel,Subterrene Pokémon,0.7,40.4,50,50,110,135,60,50,65,88,508
Audino,https://pokemondb.net/pokedex/audino,0531,Normal,,Hearing Pokémon,1.1,31,50,50,103,60,86,60,86,50,445
Timburr,https://pokemondb.net/pokedex/timburr,0532,Fighting,,Muscular Pokémon,0.6,12.5,75,25,75,80,55,25,35,35,305
Gurdurr,https://pokemondb.net/pokedex/gurdurr,0533,Fighting,,Muscular Pokémon,1.2,40,75,25,85,105,85,40,50,40,405
Conkeldurr,https://pokemondb.net/pokedex/conkeldurr,0534,Fighting,,Muscular Pokémon,1.4,87,75,25,105,140,95,55,65,45,505
Tympole,https://pokemondb.net/pokedex/tympole,0535,Water,,Tadpole Pokémon,0.5,4.5,50,50,50,50,40,50,40,64,294
Palpitoad,https://pokemondb.net/pokedex/palpitoad,0536,Water,Ground,Vibration Pokémon,0.8,17,50,50,75,65,55,65,55,69,384
Seismitoad,https://pokemondb.net/pokedex/seismitoad,0537,Water,Ground,Vibration Pokémon,1.5,62,50,50,105,95,75,85,75,74,509
Throh,https://pokemondb.net/pokedex/throh,0538,Fighting,,Judo Pokémon,1.3,55.5,100,0,120,100,85,30,85,45,465
Sawk,https://pokemondb.net/pokedex/sawk,0539,Fighting,,Karate Pokémon,1.4,51,100,0,75,125,75,30,75,85,465
Sewaddle,https://pokemondb.net/pokedex/sewaddle,0540,Bug,Grass,Sewing Pokémon,0.3,2.5,50,50,45,53,70,40,60,42,310
Swadloon,https://pokemondb.net/pokedex/swadloon,0541,Bug,Grass,Leaf-Wrapped Pokémon,0.5,7.3,50,50,55,63,90,50,80,42,380
Leavanny,https://pokemondb.net/pokedex/leavanny,0542,Bug,Grass,Nurturing Pokémon,1.2,20.5,50,50,75,103,80,70,80,92,500
Venipede,https://pokemondb.net/pokedex/venipede,0543,Bug,Poison,Centipede Pokémon,0.4,5.3,50,50,30,45,59,30,39,57,260
Whirlipede,https://pokemondb.net/pokedex/whirlipede,0544,Bug,Poison,Curlipede Pokémon,1.2,58.5,50,50,40,55,99,40,79,47,360
Scolipede,https://pokemondb.net/pokedex/scolipede,0545,Bug,Poison,Megapede Pokémon,2.5,200.5,50,50,60,100,89,55,69,112,485
Cottonee,https://pokemondb.net/pokedex/cottonee,0546,Grass,Fairy,Cotton Puff Pokémon,0.3,0.6,50,50,40,27,60,37,50,66,280
Whimsicott,https://pokemondb.net/pokedex/whimsicott,0547,Grass,Fairy,Windveiled Pokémon,0.7,6.6,50,50,60,67,85,77,75,116,480
Petilil,https://pokemondb.net/pokedex/petilil,0548,Grass,,Bulb Pokémon,0.5,6.6,0,100,45,35,50,70,50,30,280
Lilligant,https://pokemondb.net/pokedex/lilligant,0549,Grass,,Flowering Pokémon,1.1,16.3,0,100,70,60,75,110,75,90,480
Basculin,https://pokemondb.net/pokedex/basculin,0550,Water,,Hostile Pokémon,1,18,50,50,70,92,65,80,55,98,460
Sandile,https://pokemondb.net/pokedex/sandile,0551,Ground,Dark,Desert Croc Pokémon,0.7,15.2,50,50,50,72,35,35,35,65,292
Krokorok,https://pokemondb.net/pokedex/krokorok,0552,Ground,Dark,Desert Croc Pokémon,1,33.4,50,50,60,82,45,45,45,74,351
Krookodile,https://pokemondb.net/pokedex/krookodile,0553,Ground,Dark,Intimidation Pokémon,1.5,96.3,50,50,95,117,80,65,70,92,519
Darumaka,https://pokemondb.net/pokedex/darumaka,0554,Fire,,Zen Charm Pokémon,0.6,37.5,50,50,70,90,45,15,45,50,315
Darmanitan,https://pokemondb.net/pokedex/darmanitan,0555,Fire,,Blazing Pokémon,1.3,92.9,50,50,105,140,55,30,55,95,480
Maractus,https://pokemondb.net/pokedex/maractus,0556,Grass,,Cactus Pokémon,1,28,50,50,75,86,67,106,67,60,461
Dwebble,https://pokemondb.net/pokedex/dwebble,0557,Bug,Rock,Rock Inn Pokémon,0.3,14.5,50,50,50,65,85,35,35,55,325
Crustle,https://pokemondb.net/pokedex/crustle,0558,Bug,Rock,Stone Home Pokémon,1.4,200,50,50,70,105,125,65,75,45,485
Scraggy,https://pokemondb.net/pokedex/scraggy,0559,Dark,Fighting,Shedding Pokémon,0.6,11.8,50,50,50,75,70,35,70,48,348
Scrafty,https://pokemondb.net/pokedex/scrafty,0560,Dark,Fighting,Hoodlum Pokémon,1.1,30,50,50,65,90,115,45,115,58,488
Sigilyph,https://pokemondb.net/pokedex/sigilyph,0561,Psychic,Flying,Avianoid Pokémon,1.4,14,50,50,72,58,80,103,80,97,490
Yamask,https://pokemondb.net/pokedex/yamask,0562,Ghost,,Spirit Pokémon,0.5,1.5,50,50,38,30,85,55,65,30,303
Cofagrigus,https://pokemondb.net/pokedex/cofagrigus,0563,Ghost,,Coffin Pokémon,1.7,76.5,50,50,58,50,145,95,105,30,483
Tirtouga,https://pokemondb.net/pokedex/tirtouga,0564,Water,Rock,Prototurtle Pokémon,0.7,16.5,87.5,12.5,54,78,103,53,45,22,355
Carracosta,https://pokemondb.net/pokedex/carracosta,0565,Water,Rock,Prototurtle Pokémon,1.2,81,87.5,12.5,74,108,133,83,65,32,495
Archen,https://pokemondb.net/pokedex/archen,0566,Rock,Flying,First Bird Pokémon,0.5,9.5,87.5,12.5,55,112,45,74,45,70,401
Archeops,https://pokemondb.net/pokedex/archeops,0567,Rock,Flying,First Bird Pokémon,1.4,32,87.5,12.5,75,140,65,112,65,110,567
Trubbish,https://pokemondb.net/pokedex/trubbish,0568,Poison,,Trash Bag Pokémon,0.6,31,50,50,50,50,62,40,62,65,329
Garbodor,https://pokemondb.net/pokedex/garbodor,0569,Poison,,Trash Heap Pokémon,1.9,107.3,50,50,80,95,82,60,82,75,474
Zorua,https://pokemondb.net/pokedex/zorua,0570,Dark,,Tricky Fox Pokémon,0.7,12.5,87.5,12.5,40,65,40,80,40,65,330
Zoroark,https://pokemondb.net/pokedex/zoroark,0571,Dark,,Illusion Fox Pokémon,1.6,81.1,87.5,12.5,60,105,60,120,60,105,510
Minccino,https://pokemondb.net/pokedex/minccino,0572,Normal,,Chinchilla Pokémon,0.4,5.8,25,75,55,50,40,40,40,75,300
Cinccino,https://pokemondb.net/pokedex/cinccino,0573,Normal,,Scarf Pokémon,0.5,7.5,25,75,75,95,60,65,60,115,470
Gothita,https://pokemondb.net/pokedex/gothita,0574,Psychic,,Fixation Pokémon,0.4,5.8,25,75,45,30,50,55,65,45,290
Gothorita,https://pokemondb.net/pokedex/gothorita,0575,Psychic,,Manipulate Pokémon,0.7,18,25,75,60,45,70,75,85,55,390
Gothitelle,https://pokemondb.net/pokedex/gothitelle,0576,Psychic,,Astral Body Pokémon,1.5,44,25,75,70,55,95,95,110,65,490
Solosis,https://pokemondb.net/pokedex/solosis,0577,Psychic,,Cell Pokémon,0.3,1,50,50,45,30,40,105,50,20,290
Duosion,https://pokemondb.net/pokedex/duosion,0578,Psychic,,Mitosis Pokémon,0.6,8,50,50,65,40,50,125,60,30,370
Reuniclus,https://pokemondb.net/pokedex/reuniclus,0579,Psychic,,Multiplying Pokémon,1,20.1,50,50,110,65,75,125,85,30,490
Ducklett,https://pokemondb.net/pokedex/ducklett,0580,Water,Flying,Water Bird Pokémon,0.5,5.5,50,50,62,44,50,44,50,55,305
Swanna,https://pokemondb.net/pokedex/swanna,0581,Water,Flying,White Bird Pokémon,1.3,24.2,50,50,75,87,63,87,63,98,473
Vanillite,https://pokemondb.net/pokedex/vanillite,0582,Ice,,Fresh Snow Pokémon,0.4,5.7,50,50,36,50,50,65,60,44,305
Vanillish,https://pokemondb.net/pokedex/vanillish,0583,Ice,,Icy Snow Pokémon,1.1,41,50,50,51,65,65,80,75,59,395
Vanilluxe,https://pokemondb.net/pokedex/vanilluxe,0584,Ice,,Snowstorm Pokémon,1.3,57.5,50,50,71,95,85,110,95,79,535
Deerling,https://pokemondb.net/pokedex/deerling,0585,Normal,Grass,Season Pokémon,0.6,19.5,50,50,60,60,50,40,50,75,335
Sawsbuck,https://pokemondb.net/pokedex/sawsbuck,0586,Normal,Grass,Season Pokémon,1.9,92.5,50,50,80,100,70,60,70,95,475
Emolga,https://pokemondb.net/pokedex/emolga,0587,Electric,Flying,Sky Squirrel Pokémon,0.4,5,50,50,55,75,60,75,60,103,428
Karrablast,https://pokemondb.net/pokedex/karrablast,0588,Bug,,Clamping Pokémon,0.5,5.9,50,50,50,75,45,40,45,60,315
Escavalier,https://pokemondb.net/pokedex/escavalier,0589,Bug,Steel,Cavalry Pokémon,1,33,50,50,70,135,105,60,105,20,495
Foongus,https://pokemondb.net/pokedex/foongus,0590,Grass,Poison,Mushroom Pokémon,0.2,1,50,50,69,55,45,55,55,15,294
